groupID,gene,featureID,meanUsage_change,padj,delta_wUTR,delta_RED,max_abs_delta_RED,max_delta_RED_featureID,perGeneQ,dir_consensus,dominant_featureID
TUBGCP4,TUBGCP4,chr15_+_43407093,0.19868142246191,0.0207619964548516,-114.080885818487,-1.65862922339519,1.65862922339519,chr15_+_43407093,0.0221472875028304,Decreased_only,chr15_+_43406039
MORC2,MORC2,chr22_-_30926613,0.108314176155669,0.0234996211757207,-159.655095653456,1.04938643832578,1.04938643832578,chr22_-_30925139,0.0249569863138286,Increased_only,chr22_-_30926613
GTPBP10,GTPBP10,chr7_+_90385184,0.630946389079539,0.0240176175798428,-2693.23928162892,2.7067034321421,3.57338824897044,chr7_+_90387336,0.0254934736724281,Increased_only,chr7_+_90385184
LATS2,LATS2,chr13_-_20974412,0.198654914192722,0.0244469545581717,-243.021081841886,2.58177922330823,2.89404327304777,chr13_-_20974025,0.0259399798693899,Increased_only,chr13_-_20973039
SLC35F6,SLC35F6,chr2_+_26778848,0.265377011665488,0.0244469545581717,-588.986186042406,2.16908762526596,2.33182520055901,chr2_+_26781179,0.0260244487143055,Increased_only,chr2_+_26778848
USP53,USP53,chr4_+_119294745,0.210745134955565,0.0252962242710181,59.1736754240831,-2.2564394937905,2.2564394937905,chr4_+_119294745,0.0269109950522804,Decreased_only,chr4_+_119295517
DNM1L,DNM1L,chr12_+_32745284,0.112465964454232,0.0279129941764955,-119.156880108641,-1.80275519409567,1.80275519409567,chr12_+_32745284,0.0298727217842535,Decreased_only,chr12_+_32744713
ARFGEF2,ARFGEF2,chr20_+_49036692,0.0660662781568114,0.0285845988292293,202.42707627247,1.62004089280055,1.62004089280055,chr20_+_49036692,0.030674599837682,Increased_only,chr20_+_49036692
GNPDA1,GNPDA1,chr5_-_142000677,0.0623602253410391,0.0292946649547842,71.0282966634436,2.28317030986399,2.28317030986399,chr5_-_142000677,0.0316327046984871,Increased_only,chr5_-_142000677
DMD,DMD,chrX_-_31119228,0.15861119771473,0.0332217249483755,-410.485779685722,-2.00964998570206,2.00964998570206,chrX_-_31119228,0.0355230656270887,Decreased_only,chrX_-_31119228
ARHGEF15,ARHGEF15,chr17_+_8322510,0.106378275108348,0.0342026100038472,92.8682341695874,2.14241999234005,2.14241999234005,chr17_+_8321637,0.0365271379519983,Increased_only,chr17_+_8322510
FKBP15,FKBP15,chr9_-_113165520,0.0608508048653008,0.0357660677366643,71.6383156399761,-1.3985542454278,2.02852969766205,chr9_-_113164109,0.038329570831686,Decreased_only,chr9_-_113165520
RORA,RORA,chr15_-_60493133,0.330980232762168,0.0375293742253653,74.442895678977,-1.68823183285648,1.68823183285648,chr15_-_60493133,0.0181970082212551,Mixed,chr15_-_60493133
BTG2,BTG2,chr1_+_203309599,0.211165134275133,0.0389736485239238,-433.310855532574,-3.4880472115455,3.4880472115455,chr1_+_203307547,0.0418458226039888,Decreased_only,chr1_+_203309599
CD82,CD82,chr11_+_44619762,0.123506279504849,0.0411601572908304,-74.1037677029095,1.68836466744891,1.68836466744891,chr11_+_44619762,0.0441326667066561,Increased_only,chr11_+_44619762
ERLIN1,ERLIN1,chr10_-_100150095,0.11540008095119,0.0457995743242891,77.0348887992436,3.07804729795273,3.10209856638251,chr10_-_100151810,0.0402840187087396,Mixed,chr10_-_100150095
VCF1,VCF1,chr17_-_73209435,0.133555622823909,0.0457995743242891,78.129007298086,-2.04780571136426,2.04780571136426,chr17_-_73209435,0.0492750102515097,Decreased_only,chr17_-_73207366
CRAMP1,CRAMP1,chr16_+_1677906,0.366491040559595,0.0461205632724917,167.852896576294,2.91206606457695,2.91206606457695,chr16_+_1677906,0.0496910869084622,Increased_only,chr16_+_1677906
ZNF597,ZNF597,chr16_-_3436111,0.508333333333333,0.0470310628025249,-1368.94166666667,2.39138590354503,2.39138590354503,chr16_-_3433418,0.0506399214589012,Increased_only,chr16_-_3436111
COX19,COX19,chr7_-_966167,0.165212187898998,0.048944862503509,255.82753143743,1.55391808531008,1.5635661014516,chr7_-_968717,0.0527140343331064,Increased_only,chr7_-_968975
ABCB7,ABCB7,chrX_-_75053281,0.119891443167305,0.0498485469983721,207.292305236271,-5.46845555779124,5.46845555779127,chrX_-_75051552,0.0540137168298031,Decreased_only,chrX_-_75053281
MTRR,MTRR,chr5_+_7900616,0.290686493339603,0.0498485469983721,-146.50599264316,1.49756316592056,1.49756316592056,chr5_+_7900616,0.0325164441286681,Mixed,chr5_+_7901120
