groupID,featureID,PAS_ID,gene,feature,APA_direction,exonBaseMean,dispersion,stat,pvalue,padj,log2fold_Experimental_v_Control,countData.Control_S1,countData.Control_S2,countData.Experimental_S4,countData.Experimental_S5,genomicData.seqnames,genomicData.start,genomicData.end,genomicData.width,genomicData.strand
PSMA5,chr1_-_109401851,chr1:-:109401851,PSMA5,chr1_-_109401851,Shortened,654.432211356951,0.421634759330448,0.387704530220901,0.533508472595805,1,0.0541047719662267,800,441,551,956,chr1,109401851,109401851,1,-
GSTM3,chr1_-_109736502,chr1:-:109736502,GSTM3,chr1_-_109736502,Lengthened,34.2988796573812,0.36025641772858,0.190953139428316,0.662124509066589,1,-0.698328706658503,49,20,15,66,chr1,109736502,109736502,1,-
GSTM3,chr1_-_109736931,chr1:-:109736931,GSTM3,chr1_-_109736931,Lengthened,11.8918091202181,0.918300647290226,0.379805159552546,0.53770753009578,1,-0.872288653395985,17,8,18,2,chr1,109736931,109736931,1,-
GSTM3,chr1_-_109736976,chr1:-:109736976,GSTM3,chr1_-_109736976,Lengthened,664.156065952875,0.154572849993674,0.276904473101894,0.598737349950121,1,-0.293063876764975,659,482,650,990,chr1,109736976,109736976,1,-
SRM,chr1_-_11054592,chr1:-:11054592,SRM,chr1_-_11054592,Shortened,2396.44124854278,2.9992994378917,0.0107808798757389,0.917303452312619,1,0.475381401944563,2566,2263,1830,3337,chr1,11054592,11054592,1,-
LRIF1,chr1_-_110947191,chr1:-:110947191,LRIF1,chr1_-_110947191,Shortened,41.6399717464602,0.680151111360033,0.203128602840586,0.652207291475052,1,0.432498820789331,22,44,27,89,chr1,110947191,110947191,1,-
MTOR,chr1_-_11106536,chr1:-:11106536,MTOR,chr1_-_11106536,Lengthened,205.591768503264,0.50545428207061,0.0284271291791498,0.866108553114968,1,-0.207142982037865,229,167,168,297,chr1,11106536,11106536,1,-
DRAM2,chr1_-_111117908,chr1:-:111117908,DRAM2,chr1_-_111117908,Lengthened,99.4135846375559,0.604103281480118,1.59400525915585,0.206754826131203,1,-1.57072446192637,85,109,118,82,chr1,111117908,111117908,1,-
WDR77,chr1_-_111440274,chr1:-:111440274,WDR77,chr1_-_111440274,Lengthened,221.415206331485,0.136728731101777,0.390204923835938,0.532191704762454,1,-0.276169537259296,329,156,220,184,chr1,111440274,111440274,1,-
WDR77,chr1_-_111440953,chr1:-:111440953,WDR77,chr1_-_111440953,Shortened,207.647715321735,0.135043140077725,0.611656741563948,0.434164698750565,1,0.285922738341479,225,150,225,252,chr1,111440953,111440953,1,-
PHTF1,chr1_-_113697210,chr1:-:113697210,PHTF1,chr1_-_113697210,Shortened,281.295498344697,0.642882703711013,0.104125761108563,0.746933634976075,1,0.0982941048660031,240,263,317,324,chr1,113697210,113697210,1,-
RSBN1,chr1_-_113765325,chr1:-:113765325,RSBN1,chr1_-_113765325,Shortened,64.9307822925875,0.278509048088024,0.05694930825603,0.811384325291366,1,0.124707070033396,83,94,21,68,chr1,113765325,113765325,1,-
AP4B1,chr1_-_113895060,chr1:-:113895060,AP4B1,chr1_-_113895060,Shortened,71.5170584794143,0.831704184204924,0.148944154702399,0.699546410602749,1,0.280829317740713,38,76,98,74,chr1,113895060,113895060,1,-
TRIM33,chr1_-_114392795,chr1:-:114392795,TRIM33,chr1_-_114392795,Shortened,132.020929774374,0.214189358458533,0.678083280693443,0.410247521839039,1,0.477913915874618,125,64,159,206,chr1,114392795,114392795,1,-
TRIM33,chr1_-_114395916,chr1:-:114395916,TRIM33,chr1_-_114395916,Shortened,57.2479282438051,0.24552986357464,0.294393532631872,0.587418710143348,1,0.484438400255977,28,52,76,79,chr1,114395916,114395916,1,-
TRIM33,chr1_-_114397607,chr1:-:114397607,TRIM33,chr1_-_114397607,Lengthened,71.770863028728,0.218927820965593,1.98893050325748,0.15845274956971,1,-0.930527315282061,65,101,60,60,chr1,114397607,114397607,1,-
BCAS2,chr1_-_114567562,chr1:-:114567562,BCAS2,chr1_-_114567562,Lengthened,148.382594885072,0.211611004109253,0.0553541166071767,0.813995642414357,1,-0.0773324063430456,156,139,124,196,chr1,114567562,114567562,1,-
BCAS2,chr1_-_114567737,chr1:-:114567737,BCAS2,chr1_-_114567737,Shortened,225.966801595373,0.214738155589646,0.0840071803694684,0.771938704799663,1,0.133119488046074,115,296,126,437,chr1,114567737,114567737,1,-
NRAS,chr1_-_114704471,chr1:-:114704471,NRAS,chr1_-_114704471,Shortened,869.505079072357,0.144743381048139,0.214670211923448,0.643131307813046,1,0.0149045292450332,780,720,812,1338,chr1,114704471,114704471,1,-
NRAS,chr1_-_114706964,chr1:-:114706964,NRAS,chr1_-_114706964,Lengthened,44.8361260722508,0.355488266039022,0.0355148741316071,0.850520846891149,1,-0.0787738632075259,28,51,66,29,chr1,114706964,114706964,1,-
CSDE1,chr1_-_114716917,chr1:-:114716917,CSDE1,chr1_-_114716917,Lengthened,2761.75470670737,0.088746617117638,0.0384704450619324,0.844501495698888,1,-0.0754023530525458,2755,2733,2517,3322,chr1,114716917,114716917,1,-
CSDE1,chr1_-_114717295,chr1:-:114717295,CSDE1,chr1_-_114717295,Shortened,1121.33084584723,0.0986810728455813,0.0929426847995103,0.760468952810507,1,0.1189586196499,1124,965,965,1637,chr1,114717295,114717295,1,-
CSDE1,chr1_-_114718029,chr1:-:114718029,CSDE1,chr1_-_114718029,Lengthened,715.118050002587,0.0998575506788598,0.00599470869880747,0.938285052269082,1,-0.0720527607138823,662,754,670,835,chr1,114718029,114718029,1,-
SIKE1,chr1_-_114769486,chr1:-:114769486,SIKE1,chr1_-_114769486,Shortened,75.0819719321912,0.20376485767866,0.0531620733783882,0.817649636936284,1,0.215124563669132,53,45,70,160,chr1,114769486,114769486,1,-
SIKE1,chr1_-_114773476,chr1:-:114773476,SIKE1,chr1_-_114773476,Shortened,21.3196883859107,0.652580174321242,0.339468903893987,0.560135941165218,1,0.747010379669573,3,18,18,57,chr1,114773476,114773476,1,-
SIKE1,chr1_-_114774144,chr1:-:114774144,SIKE1,chr1_-_114774144,Lengthened,96.9885510853947,0.215612561611448,0.761955588086678,0.38271721844658,1,-0.495938655284546,121,51,99,133,chr1,114774144,114774144,1,-
MAD2L2,chr1_-_11674481,chr1:-:11674481,MAD2L2,chr1_-_11674481,Lengthened,431.299912375847,0.364287116198771,3.17117533568836,0.0749484930640544,1,-0.527526885301166,540,350,363,527,chr1,11674481,11674481,1,-
MTHFR,chr1_-_11785730,chr1:-:11785730,MTHFR,chr1_-_11785730,Lengthened,26.6958272584436,0.635462906345316,0.113294453850656,0.73642417483612,1,-0.711457377773632,18,39,30,17,chr1,11785730,11785730,1,-
MTHFR,chr1_-_11786050,chr1:-:11786050,MTHFR,chr1_-_11786050,Shortened,27.4890097942845,0.348174338489368,0.239831760858522,0.624327652336124,1,0.0689659360644646,31,15,23,49,chr1,11786050,11786050,1,-
GDAP2,chr1_-_117863486,chr1:-:117863486,GDAP2,chr1_-_117863486,Lengthened,6.1285461575193,1.25947195669067,1.22316268688921,0.268740865305206,1,-3.11088100939346,2,17,3,1,chr1,117863486,117863486,1,-
GDAP2,chr1_-_117870159,chr1:-:117870159,GDAP2,chr1_-_117870159,Shortened,19.7046787707466,0.627851153087006,0.652455748082758,0.419236051512754,1,1.13678171842668,10,6,44,17,chr1,117870159,117870159,1,-
KIAA2013,chr1_-_11919592,chr1:-:11919592,KIAA2013,chr1_-_11919592,Lengthened,1018.68979915818,0.0980447351604252,0.00216883905942211,0.962855308016425,1,-0.0163867788256891,997,724,970,1600,chr1,11919592,11919592,1,-
KIAA2013,chr1_-_11920068,chr1:-:11920068,KIAA2013,chr1_-_11920068,Shortened,192.006328425319,0.128385802050151,0.00167900482169614,0.96731529900445,1,0.0221135281564422,179,140,209,269,chr1,11920068,11920068,1,-
NOTCH2,chr1_-_119912056,chr1:-:119912056,NOTCH2,chr1_-_119912056,Shortened,397.88834897366,0.204605980525445,0.946998708628684,0.330484428580877,1,0.231175505270079,324,447,366,495,chr1,119912056,119912056,1,-
SEC22B,chr1_-_120155205,chr1:-:120155205,SEC22B,chr1_-_120155205,Lengthened,143.131207077243,0.220581742741592,0.187642783143403,0.664885792768994,1,-0.19940402998489,156,146,145,126,chr1,120155205,120155205,1,-
SEC22B,chr1_-_120156017,chr1:-:120156017,SEC22B,chr1_-_120156017,Shortened,391.349645368266,0.213793552667227,0.132341045433293,0.716017005227612,1,0.142638407037841,518,229,243,699,chr1,120156017,120156017,1,-
UBE2J2,chr1_-_1253914,chr1:-:1253914,UBE2J2,chr1_-_1253914,Lengthened,240.666567751035,0.151651024762578,1.56016207625852,0.211641490768715,1,-0.531126483843516,269,311,206,165,chr1,1253914,1253914,1,-
UBE2J2,chr1_-_1254902,chr1:-:1254902,UBE2J2,chr1_-_1254902,Shortened,1044.58633242427,0.127828465877196,2.16541511849357,0.141146502031761,1,0.438587186438461,865,997,915,1605,chr1,1254902,1254902,1,-
ACAP3,chr1_-_1292871,chr1:-:1292871,ACAP3,chr1_-_1292871,Shortened,5.1692827319324,1.40575186543372,0.142218952657394,0.706084962549703,1,0.468984574930222,8,3,5,5,chr1,1292871,1292871,1,-
DVL1,chr1_-_1335279,chr1:-:1335279,DVL1,chr1_-_1335279,Lengthened,396.328342228271,0.261829690308612,0.246794858738426,0.619341013018734,1,-0.079158751283039,311,422,359,551,chr1,1335279,1335279,1,-
DVL1,chr1_-_1335324,chr1:-:1335324,DVL1,chr1_-_1335324,Shortened,38.223457136205,0.454000657296563,0.162106546100702,0.687224430246229,1,0.143818229987472,57,10,36,59,chr1,1335324,1335324,1,-
CCNL2,chr1_-_1386496,chr1:-:1386496,CCNL2,chr1_-_1386496,Shortened,34.4022680399092,0.322057020925695,0.283703683804447,0.594283902960708,1,0.418466815746625,23,13,52,56,chr1,1386496,1386496,1,-
CCNL2,chr1_-_1386713,chr1:-:1386713,CCNL2,chr1_-_1386713,Lengthened,117.554723261885,0.216593537831189,0.10864109148315,0.741696569263154,1,-0.137101357072376,76,83,128,214,chr1,1386713,1386713,1,-
MRPL20,chr1_-_1401913,chr1:-:1401913,MRPL20,chr1_-_1401913,Lengthened,1506.35104523668,0.11379673678329,0.0753535167913242,0.78369583145169,1,-0.0422455009256701,1341,1478,1243,2245,chr1,1401913,1401913,1,-
MRPL20,chr1_-_1401949,chr1:-:1401949,MRPL20,chr1_-_1401949,Lengthened,118.898389810188,0.151240210786295,0.46405861243916,0.495733258733873,1,-0.561011987275987,108,154,85,140,chr1,1401949,1401949,1,-
MRPL20,chr1_-_1402039,chr1:-:1402039,MRPL20,chr1_-_1402039,Shortened,86.0503069988211,0.254463015824796,1.54172550935256,0.214361149198549,1,1.03622363427575,23,78,130,121,chr1,1402039,1402039,1,-
RNF115,chr1_-_145744434,chr1:-:145744434,RNF115,chr1_-_145744434,Lengthened,169.497187200761,0.187904956333064,1.64585689579407,0.199523769069449,1,-0.651256511673769,231,117,188,143,chr1,145744434,145744434,1,-
RNF115,chr1_-_145745477,chr1:-:145745477,RNF115,chr1_-_145745477,Shortened,24.4030681548247,0.411124648345547,0.555505842036624,0.456076695982542,1,0.815724834159816,11,16,29,49,chr1,145745477,145745477,1,-
RNF115,chr1_-_145746279,chr1:-:145746279,RNF115,chr1_-_145746279,Shortened,33.1627204017226,0.360606759633905,0.209935090523786,0.646818284135593,1,0.373417679982327,35,11,54,33,chr1,145746279,145746279,1,-
RNF115,chr1_-_145746467,chr1:-:145746467,RNF115,chr1_-_145746467,Shortened,50.6857369748767,0.259071226702749,0.253473816081694,0.614639608833048,1,0.372500823700831,30,39,70,69,chr1,145746467,145746467,1,-
RBM8A,chr1_-_145921561,chr1:-:145921561,RBM8A,chr1_-_145921561,Shortened,36.7766369380175,0.296830524515869,0.228692669746252,0.632494892968398,1,0.734514239124649,37,25,43,46,chr1,145921561,145921561,1,-
RBM8A,chr1_-_145922942,chr1:-:145922942,RBM8A,chr1_-_145922942,Lengthened,165.77554004651,0.136860437461527,0.587978738526374,0.443201794075523,1,-0.344888426775007,227,170,105,177,chr1,145922942,145922942,1,-
RBM8A,chr1_-_145923649,chr1:-:145923649,RBM8A,chr1_-_145923649,Shortened,182.763729278101,0.148245494102838,0.00450660072422693,0.946477239829926,1,0.0898637647147895,140,241,148,218,chr1,145923649,145923649,1,-
RBM8A,chr1_-_145925724,chr1:-:145925724,RBM8A,chr1_-_145925724,Shortened,1509.08742799276,0.0934993715897433,0.287915032346106,0.591559734851033,1,0.26885778004681,1530,1468,1244,2017,chr1,145925724,145925724,1,-
LIX1L,chr1_-_145933424,chr1:-:145933424,LIX1L,chr1_-_145933424,Shortened,621.825820503049,0.161205191042846,1.11602096320118,0.290776859585806,1,0.495398798313945,521,591,581,896,chr1,145933424,145933424,1,-
LIX1L,chr1_-_145935998,chr1:-:145935998,LIX1L,chr1_-_145935998,Lengthened,42.9777506657909,0.401049847167003,0.171994998070787,0.678344842027102,1,-0.07230417586032,71,24,13,80,chr1,145935998,145935998,1,-
LIX1L,chr1_-_145936180,chr1:-:145936180,LIX1L,chr1_-_145936180,Lengthened,45.6993227687812,0.291576428779341,2.02241078078916,0.154992898779658,1,-1.11835406741056,75,53,31,20,chr1,145936180,145936180,1,-
TXNIP,chr1_-_145992444,chr1:-:145992444,TXNIP,chr1_-_145992444,Lengthened,172.139331487602,0.148016368655198,0.172123379335986,0.678231547061429,1,-0.108643144253796,173,175,199,135,chr1,145992444,145992444,1,-
TXNIP,chr1_-_145993332,chr1:-:145993332,TXNIP,chr1_-_145993332,Shortened,105.533124805483,0.173982311100552,0.147575386529226,0.70086325779386,1,0.129562979012831,100,97,108,127,chr1,145993332,145993332,1,-
PRKAB2,chr1_-_147155108,chr1:-:147155108,PRKAB2,chr1_-_147155108,Shortened,87.8338553858718,0.652111312044674,0.266876376127271,0.605434864181503,1,0.242825394135039,52,77,108,126,chr1,147155108,147155108,1,-
GJA5,chr1_-_147756200,chr1:-:147756200,GJA5,chr1_-_147756200,Shortened,897.226218165756,0.183575939054196,0.714487103745768,0.397958214678783,1,0.327127919207539,1040,844,693,1135,chr1,147756200,147756200,1,-
GJA5,chr1_-_147757095,chr1:-:147757095,GJA5,chr1_-_147757095,Lengthened,91.4025498623773,0.259188024599726,0.342863936659768,0.558180749885896,1,-0.0710860447632093,103,111,98,42,chr1,147757095,147757095,1,-
OTUD7B,chr1_-_149940335,chr1:-:149940335,OTUD7B,chr1_-_149940335,Shortened,20.5976886607002,0.843781194157895,0.280811696701477,0.59616969491297,1,0.15953088357111,2,37,14,33,chr1,149940335,149940335,1,-
OTUD7B,chr1_-_149941263,chr1:-:149941263,OTUD7B,chr1_-_149941263,Shortened,47.4433793590173,0.304138827078329,0.273775328686881,0.600810419707567,1,0.374500843826958,34,51,52,56,chr1,149941263,149941263,1,-
ANP32E,chr1_-_150218425,chr1:-:150218425,ANP32E,chr1_-_150218425,Lengthened,141.696299122033,0.16915422126834,0.608868889268265,0.435214011426276,1,-0.298718297814409,146,150,149,120,chr1,150218425,150218425,1,-
ANP32E,chr1_-_150218555,chr1:-:150218555,ANP32E,chr1_-_150218555,Shortened,168.463882498973,0.169610001059651,0.524576389661988,0.468896026177734,1,0.35655458114183,129,150,150,285,chr1,150218555,150218555,1,-
ANP32E,chr1_-_150220379,chr1:-:150220379,ANP32E,chr1_-_150220379,Lengthened,34.3796588276076,0.321936974730348,0.0040807653767132,0.949065085783422,1,-0.117841766240206,21,46,30,44,chr1,150220379,150220379,1,-
APH1A,chr1_-_150265406,chr1:-:150265406,APH1A,chr1_-_150265406,Shortened,2202.40214046937,0.496583011469435,0.187496432344616,0.665008534915656,1,0.14170663642034,2799,1811,1850,2606,chr1,150265406,150265406,1,-
MCL1,chr1_-_150574561,chr1:-:150574561,MCL1,chr1_-_150574561,Shortened,3618.79689730442,0.0932494606093631,0.166250288100116,0.683466025735902,1,0.0975027898313332,2799,3454,3765,4929,chr1,150574561,150574561,1,-
MCL1,chr1_-_150575963,chr1:-:150575963,MCL1,chr1_-_150575963,Lengthened,327.102061037578,0.115096267699816,0.181125275012093,0.67040797519766,1,-0.182798764002506,333,296,317,396,chr1,150575963,150575963,1,-
MCL1,chr1_-_150577197,chr1:-:150577197,MCL1,chr1_-_150577197,Shortened,35.1716653745238,0.332898161604191,0.83593214266368,0.360562777705454,1,1.14085388730077,11,27,60,44,chr1,150577197,150577197,1,-
GOLPH3L,chr1_-_150646230,chr1:-:150646230,GOLPH3L,chr1_-_150646230,Lengthened,236.722327469575,0.196739502323947,0.413147916819213,0.520376055955324,1,-0.377063155680212,194,286,156,357,chr1,150646230,150646230,1,-
GOLPH3L,chr1_-_150647061,chr1:-:150647061,GOLPH3L,chr1_-_150647061,Shortened,55.4975545688641,0.387702803339201,1.88417760315087,0.169860094592992,1,1.56511900419539,32,17,117,53,chr1,150647061,150647061,1,-
GOLPH3L,chr1_-_150647903,chr1:-:150647903,GOLPH3L,chr1_-_150647903,Lengthened,15.2175459395798,0.766139519190241,1.23424369889389,0.26658332432716,1,-1.63666949996554,23,20,1,20,chr1,150647903,150647903,1,-
CTSS,chr1_-_150732382,chr1:-:150732382,CTSS,chr1_-_150732382,Lengthened,26.866026332592,0.535623644536131,1.01350763070621,0.314063983267184,1,-1.01945599726314,63,6,14,29,chr1,150732382,150732382,1,-
ARNT,chr1_-_150810098,chr1:-:150810098,ARNT,chr1_-_150810098,Shortened,162.211887942001,0.349912705312154,4.35349214787679,0.0369331405760187,1,1.01359256244453,255,131,106,175,chr1,150810098,150810098,1,-
CERS2,chr1_-_150965187,chr1:-:150965187,CERS2,chr1_-_150965187,Shortened,268.44646479665,0.708435825938494,0.969995358365466,0.32468133651128,1,0.752614558803317,192,195,269,491,chr1,150965187,150965187,1,-
CDC42SE1,chr1_-_151050989,chr1:-:151050989,CDC42SE1,chr1_-_151050989,Shortened,475.691380226471,0.121102839898292,1.24784650296894,0.263964182456447,1,0.266692221341724,421,478,472,576,chr1,151050989,151050989,1,-
CDC42SE1,chr1_-_151052661,chr1:-:151052661,CDC42SE1,chr1_-_151052661,Lengthened,92.6112515618913,0.23516185954963,0.982218231919177,0.321651773371812,1,-0.746973716848275,152,86,38,109,chr1,151052661,151052661,1,-
SEMA6C,chr1_-_151131708,chr1:-:151131708,SEMA6C,chr1_-_151131708,Shortened,80.2753200936078,0.538632497415774,0.137967835445565,0.71030967514828,1,0.326237554437914,150,56,40,86,chr1,151131708,151131708,1,-
SEMA6C,chr1_-_151132057,chr1:-:151132057,SEMA6C,chr1_-_151132057,Lengthened,43.6594383589914,0.63100378581846,0.117904447374983,0.731318493084051,1,-0.3889980938846,19,105,30,11,chr1,151132057,151132057,1,-
VPS72,chr1_-_151176463,chr1:-:151176463,VPS72,chr1_-_151176463,Lengthened,690.266415753495,0.110952787874591,5.9892320416332,0.0143934673536157,1,-0.387526537242966,743,624,516,1013,chr1,151176463,151176463,1,-
PI4KB,chr1_-_151291805,chr1:-:151291805,PI4KB,chr1_-_151291805,Shortened,39.8172488254853,0.482320499938324,0.0907469978090489,0.763229641972165,1,0.259095060732262,51,12,63,32,chr1,151291805,151291805,1,-
PI4KB,chr1_-_151292132,chr1:-:151292132,PI4KB,chr1_-_151292132,Lengthened,267.454299408052,0.282222186273331,0.0643497499144701,0.799748561793203,1,-0.145869858866811,192,291,231,404,chr1,151292132,151292132,1,-
RFX5,chr1_-_151341961,chr1:-:151341961,RFX5,chr1_-_151341961,Lengthened,33.9256963828768,0.806003535031869,0.000410633330467647,0.983832702186866,1,-0.884506346603029,45,44,30,12,chr1,151341961,151341961,1,-
POGZ,chr1_-_151402724,chr1:-:151402724,POGZ,chr1_-_151402724,Shortened,140.388193758179,0.484843562152417,4.31155775262319,0.037854283401045,1,1.08122702524326,37,177,130,250,chr1,151402724,151402724,1,-
THEM4,chr1_-_151873584,chr1:-:151873584,THEM4,chr1_-_151873584,Shortened,62.3883743330741,0.472241988347411,0.0104171112201072,0.918705676794388,1,0.939994924292326,48,30,12,208,chr1,151873584,151873584,1,-
THEM4,chr1_-_151874057,chr1:-:151874057,THEM4,chr1_-_151874057,Shortened,91.7060323890097,0.327979805214216,0.0142045347667761,0.905130549908201,1,0.085282200483487,118,47,102,110,chr1,151874057,151874057,1,-
S100A16,chr1_-_153606889,chr1:-:153606889,S100A16,chr1_-_153606889,Lengthened,7547.28584980658,0.0987828309083906,1.45387611328279,0.227907014280382,1,-0.254535071271539,8839,7110,5380,10088,chr1,153606889,153606889,1,-
S100A16,chr1_-_153606937,chr1:-:153606937,S100A16,chr1_-_153606937,Shortened,110.012492193385,0.156208887457628,0.626258397184444,0.428731089117167,1,0.425541095225772,100,83,87,203,chr1,153606937,153606937,1,-
ILF2,chr1_-_153662034,chr1:-:153662034,ILF2,chr1_-_153662034,Shortened,997.811025368013,0.121854877064859,0.161562849674013,0.687721696441893,1,0.363356608013721,962,986,909,1248,chr1,153662034,153662034,1,-
JTB,chr1_-_153974271,chr1:-:153974271,JTB,chr1_-_153974271,Shortened,46.473034460992,0.421412244864778,0.1937726855368,0.659795019096261,1,0.452141563004034,50,13,21,131,chr1,153974271,153974271,1,-
JTB,chr1_-_153974512,chr1:-:153974512,JTB,chr1_-_153974512,Lengthened,2181.13331797751,0.244723698851778,0.323542207981873,0.569486643579937,1,-0.249712391192013,1879,1984,2085,3131,chr1,153974512,153974512,1,-
RAB13,chr1_-_153981654,chr1:-:153981654,RAB13,chr1_-_153981654,Lengthened,812.284997707942,0.145745502938734,0.16423274722942,0.685289053758424,1,-0.125534642263167,837,877,833,695,chr1,153981654,153981654,1,-
RAB13,chr1_-_153981973,chr1:-:153981973,RAB13,chr1_-_153981973,Shortened,513.169521914176,0.151265928993582,0.158259497425092,0.690764036358225,1,0.130856345613534,419,573,374,790,chr1,153981973,153981973,1,-
SSU72,chr1_-_1541674,chr1:-:1541674,SSU72,chr1_-_1541674,Lengthened,881.531192959607,0.437733868388714,2.18354310261269,0.139493004252962,1,-0.652647433152191,868,900,835,988,chr1,1541674,1541674,1,-
SHE,chr1_-_154479485,chr1:-:154479485,SHE,chr1_-_154479485,Lengthened,195.328592479417,0.249941648313344,0.21463676026174,0.643157180848109,1,-0.0903368865061145,232,185,152,236,chr1,154479485,154479485,1,-
UBE2Q1,chr1_-_154548578,chr1:-:154548578,UBE2Q1,chr1_-_154548578,Lengthened,187.966296915334,0.146294410938859,0.0958679991022535,0.756845702422776,1,-0.129759022033711,228,155,192,185,chr1,154548578,154548578,1,-
UBE2Q1,chr1_-_154549985,chr1:-:154549985,UBE2Q1,chr1_-_154549985,Shortened,904.632538443566,0.115600672782641,0.120865396325598,0.728097786267746,1,0.0998746480595329,921,779,777,1303,chr1,154549985,154549985,1,-
ADAR,chr1_-_154582062,chr1:-:154582062,ADAR,chr1_-_154582062,Shortened,514.567792067409,0.242469978442589,0.237180964335764,0.626249626076588,1,0.0368678134092892,516,409,511,697,chr1,154582062,154582062,1,-
ADAR,chr1_-_154582292,chr1:-:154582292,ADAR,chr1_-_154582292,Lengthened,45.1278908281008,0.406823063256171,0.160726055343915,0.688488933285954,1,-0.0646976216066761,40,44,12,106,chr1,154582292,154582292,1,-
PBXIP1,chr1_-_154944085,chr1:-:154944085,PBXIP1,chr1_-_154944085,Lengthened,341.890562844322,0.140316574973872,2.36036659024955,0.124452940190833,1,-0.0332124413600763,395,392,253,349,chr1,154944085,154944085,1,-
SHC1,chr1_-_154962299,chr1:-:154962299,SHC1,chr1_-_154962299,Shortened,3051.10081408255,0.158401752016134,0.0389288362160869,0.843589713178984,1,0.0942928432390051,2735,2972,2794,4136,chr1,154962299,154962299,1,-
SHC1,chr1_-_154963330,chr1:-:154963330,SHC1,chr1_-_154963330,Shortened,49.6519014107527,0.279402719330963,0.0570651028562992,0.811196283405499,1,0.479749690838805,46,35,30,108,chr1,154963330,154963330,1,-
ASH1L,chr1_-_155335270,chr1:-:155335270,ASH1L,chr1_-_155335270,Shortened,122.901170424263,0.791036574777863,0.0169192667322733,0.896507815685606,1,0.115682046186268,85,113,183,104,chr1,155335270,155335270,1,-
RIT1,chr1_-_155897810,chr1:-:155897810,RIT1,chr1_-_155897810,Lengthened,82.7911969342286,0.303222695493106,1.37184349426889e-05,0.997044769553103,1,-0.264424796479323,118,60,89,63,chr1,155897810,155897810,1,-
RIT1,chr1_-_155900102,chr1:-:155900102,RIT1,chr1_-_155900102,Lengthened,165.918793656728,0.169022138235089,0.0347943704351366,0.852027201320759,1,-0.0810650962256965,203,133,87,291,chr1,155900102,155900102,1,-
